Date,Open,High,Low,Close,Volume 
2015-09-06,233.67,243.64,234.74,239.86,66271
2015-09-07,239.86,242.66,237.49,239.58,57187
2015-09-08,239.58,246.38,239.23,243.24,76353
2015-09-09,243.24,244.34,236.49,237.41,69263
2015-09-10,237.41,240.63,234.31,238.08,60537
2015-09-11,238.08,241.02,237.38,239.9,45773
2015-09-12,239.9,240.32,233.32,235.6,43773
2015-09-13,235.6,236.16,228.28,230.19,51595
2015-09-14,230.19,232.64,225.96,229.91,61097
2015-09-15,229.91,242.83,228.03,229.53,49516
2015-09-16,229.53,230.89,225.05,228.6,51913
2015-09-17,228.6,235.17,227.95,232.72,56060
2015-09-18,232.72,234.69,230.58,232.21,53168
2015-09-19,232.21,233.35,230.21,231.11,34470
2015-09-20,231.11,232.67,229.93,231.09,33153
2015-09-21,231.09,231.63,225,226.33,53425
2015-09-22,226.33,233.24,224.07,230.01,71545
2015-09-23,230.01,232.2,228.5,229.89,43602
2015-09-24,229.89,235.84,229.57,233.76,72124
2015-09-25,233.76,237.58,232.7,235.03,61574
2015-09-26,235.03,235.71,232.74,234.3,40288
2015-09-27,234.3,234.75,231.84,232.5,36139
2015-09-28,232.5,240.39,232.37,238.87,64274
2015-09-29,238.87,240.39,234.8,236.71,57296
2015-09-30,236.71,237.83,234.39,235.93,50515
2015-10-01,235.93,238.66,234.7,237.05,52884
2015-10-02,237.05,238.45,235.14,236.71,47941
2015-10-03,236.71,239.52,236.07,238.58,43304
2015-10-04,238.58,277.58,237.51,238.33,31854
2015-10-05,238.33,240.53,236.41,240.15,61240
2015-10-06,240.15,247.61,239.36,246.14,78843
2015-10-07,246.14,247.28,241.65,242.98,62600
